net,length_um
_0804_,16.46
_0724_,16.44
uart_tx_raspi_inst.prescale_reg\[5\],16.33
uart_rx_jetson_inst.data_reg\[2\],16.3
uart_rx_jetson_inst.prescale_reg\[12\],16.3
_0741_,16.2
_0280_,16.16
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[9\],16.16
_0546_,16.075
_0564_,16.02
_0814_,16
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[13\],16
uart_tx_raspi_inst.bit_cnt\[3\],15.995
_0794_,15.98
uart_tx_raspi_inst.data_reg\[6\],15.88
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[14\],15.86
uart_tx_jetson_inst.data_reg\[4\],15.84
uart_tx_jetson_inst.data_reg\[7\],15.78
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[8\],15.74
uart_rx_raspi_inst.prescale_reg\[2\],15.7
net60,15.68
_0543_,15.56
uart_rx_jetson_inst.data_reg\[1\],15.52
uart_rx_jetson_inst.data_reg\[3\],15.42
uart_tx_raspi_inst.prescale_reg\[6\],15.42
_0755_,15.4
_0717_,15.26
uart_rx_jetson_inst.bit_cnt\[3\],15.245
_0736_,15.2
uart_rx_raspi_inst.prescale_reg\[8\],15.165
_0840_,15.14
uart_tx_jetson_inst.prescale_reg\[15\],15.12
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[26\],15.1
_0678_,15.06
uart_rx_jetson_inst.prescale_reg\[9\],14.98
uart_tx_raspi_inst.prescale_reg\[8\],14.98
uart_tx_jetson_inst.prescale_reg\[14\],14.96
uart_tx_raspi_inst.data_reg\[5\],14.96
_0877_,14.935
_0372_,14.9
net6,14.84
net16,14.84
uart_rx_jetson_inst.prescale_reg\[0\],14.8
_0631_,14.72
uart_rx_raspi_inst.prescale_reg\[0\],14.69
uart_rx_jetson_inst.m_axis_tdata_reg\[7\],14.64
uart_rx_jetson_inst.prescale_reg\[1\],14.63
uart_rx_raspi_inst.m_axis_tdata_reg\[5\],14.6
uart_rx_jetson_inst.prescale_reg\[16\],14.44
uart_tx_raspi_inst.prescale_reg\[1\],14.41
_0521_,14.34
_0892_,14.33
uart_tx_raspi_inst.data_reg\[8\],14.3
uart_tx_jetson_inst.data_reg\[3\],14.26
uart_tx_raspi_inst.bit_cnt\[1\],14.2
_0439_,14.18
uart_rx_raspi_inst.prescale_reg\[3\],14.18
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[7\],14.14
_0329_,14.12
_0816_,14.08
net19,14.06
_0355_,13.94
_0968_,13.89
_1003_,13.86
_0689_,13.8
_0927_,13.7
_0729_,13.6
uart_rx_raspi_inst.data_reg\[6\],13.58
uart_tx_jetson_inst.prescale_reg\[17\],13.56
uart_tx_raspi_inst.prescale_reg\[7\],13.54
_0669_,13.5
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[11\],13.5
_0622_,13.46
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[7\],13.46
_0775_,13.42
net77,13.335
_0310_,13.32
_0496_,13.28
uart_rx_raspi_inst.m_axis_tdata_reg\[1\],13.18
_0451_,13.16
_0810_,13.16
rst_cnt\[4\],13.14
_0185_,13.1
_0815_,13.08
_0858_,12.86
uart_rx_raspi_inst.prescale_reg\[14\],12.84
_0684_,12.8
_0049_,12.74
_0683_,12.72
_0811_,12.72
net64,12.6
uart_rx_jetson_inst.prescale_reg\[10\],12.57
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[18\],12.54
uart_rx_raspi_inst.prescale_reg\[5\],12.54
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[22\],12.46
uart_rx_raspi_inst.prescale_reg\[13\],12.46
net226,12.46
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[5\],12.42
_0573_,12.38
uart_tx_jetson_inst.bit_cnt\[0\],12.34
_0286_,12.295
_0250_,12.28
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[22\],12.26
uart_tx_jetson_inst.data_reg\[8\],12.22
_0767_,12.18
_0562_,12.12
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[23\],12.12
net50,12.12
_0914_,12.04
_0931_,12.04
uart_tx_jetson_inst.data_reg\[2\],12.04
_0308_,12.025
uart_rx_raspi_inst.prescale_reg\[1\],11.955
_0569_,11.9
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[3\],11.9
_0618_,11.88
_0833_,11.82
_0796_,11.8
_0925_,11.8
_0872_,11.76
_0531_,11.64
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[8\],11.64
uart_rx_raspi_inst.prescale_reg\[7\],11.64
_0607_,11.62
_0661_,11.52
_0750_,11.52
_0374_,11.5
_0628_,11.42
_0371_,11.4
_0728_,11.38
_0380_,11.32
uart_rx_jetson_inst.prescale_reg\[11\],11.3
_0632_,11.26
_0674_,11.26
txd_jetson,11.22
_0917_,11.18
uart_rx_jetson_inst.prescale_reg\[2\],11.18
_0671_,11.16
_0785_,11.12
_0685_,11.1
_0673_,11.04
_0822_,11.04
rst_cnt\[0\],11.04
_0472_,11.02
heartbeat_fc,11.02
net223,10.96
uart_rx_jetson_inst.prescale_reg\[5\],10.94
_0357_,10.9
_0650_,10.88
net201,10.88
_0440_,10.86
_0885_,10.78
_0893_,10.78
net114,10.78
uart_tx_jetson_inst.prescale_reg\[5\],10.72
uart_tx_jetson_inst.data_reg\[6\],10.66
uart_tx_jetson_inst.prescale_reg\[13\],10.66
_0438_,10.64
_0550_,10.64
uart_tx_jetson_inst.prescale_reg\[16\],10.62
uart_tx_jetson_inst.s_axis_tready_reg,10.62
_0731_,10.58
uart_tx_jetson_inst.prescale_reg\[7\],10.58
_0836_,10.56
_0760_,10.54
_0995_,10.52
_0663_,10.5
_0633_,10.44
rst_cnt\[5\],10.42
uart_tx_raspi_inst.prescale_reg\[18\],10.42
net111,10.42
_0809_,10.4
uart_tx_jetson_inst.data_reg\[5\],10.4
_0843_,10.36
uart_tx_raspi_inst.data_reg\[7\],10.36
_0009_,10.32
_0551_,10.28
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[9\],10.28
_0510_,10.26
_0604_,10.24
_0330_,10.22
_0911_,10.16
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[16\],10.12
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[3\],10.08
net98,10.04
_0376_,10
_0007_,9.98
_0368_,9.98
_0656_,9.96
_0278_,9.925
_0303_,9.92
_0359_,9.92
uart_tx_jetson_inst.prescale_reg\[18\],9.92
_0620_,9.86
_0904_,9.86
_0988_,9.86
net33,9.86
_0851_,9.82
_0952_,9.82
net66,9.82
_0621_,9.8
_0744_,9.78
net213,9.78
_0597_,9.72
uart_tx_jetson_inst.prescale_reg\[11\],9.7
uart_tx_raspi_inst.data_reg\[4\],9.7
_0895_,9.655
_0332_,9.64
uart_rx_raspi_inst.data_reg\[5\],9.62
_0700_,9.59
uart_tx_raspi_inst.prescale_reg\[17\],9.58
_0302_,9.54
_0305_,9.52
_0790_,9.5
_0415_,9.48
net35,9.48
net52,9.48
_0137_,9.465
_0281_,9.44
_0599_,9.42
_0718_,9.42
_0823_,9.42
_0119_,9.385
uart_rx_jetson_inst.prescale_reg\[3\],9.36
net136,9.36
_0667_,9.34
_0542_,9.3
net81,9.28
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[17\],9.24
_0880_,9.22
uart_rx_raspi_inst.m_axis_tdata_reg\[0\],9.18
net183,9.16
_0579_,9.14
_0204_,9.125
uart_tx_raspi_inst.data_reg\[2\],9.12
net55,9.12
_0337_,9.1
_0402_,9.1
_1011_,9.08
_0078_,9.07
_0762_,9.06
uart_tx_raspi_inst.prescale_reg\[14\],9.06
net137,9.06
_0783_,9.04
_0890_,9.02
uart_rx_raspi_inst.prescale_reg\[15\],9.02
_0182_,8.985
_0629_,8.94
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[3\],8.915
_0852_,8.9
_0340_,8.88
_0166_,8.86
_0798_,8.8
_0180_,8.78
_0691_,8.76
_0131_,8.745
rxd_jetson,8.72
_0505_,8.7
net180,8.7
uart_rx_jetson_inst.prescale_reg\[17\],8.66
_0884_,8.65
net143,8.62
_0306_,8.6
net133,8.6
